NAME,Id,FPL,layer,theta,x_pos,y_pos,z_pos,toff,tcal,qped,qcal,adc_geo,adc_ch,tdc_geo,tdc_ch
NaI163,163,8,12,33.67,19.09,-12.26,34.06,1424.6,0.0977,-355.385,3.28269,15,3,8,51
NaI164,164,8,12,33.8,12.31,-19.11,33.95,1423.5,0.0977,-332.544,3.36583,15,4,8,52
NaI165,165,8,12,32.85,4.36,-21.94,34.65,1439.6,0.0977,-414.064,3.16592,15,28,8,76
NaI166,166,8,12,26.4,-4.54,-16.57,34.6,1441.6,0.0977,-272.746,2.95629,15,6,8,54
NaI167,167,8,12,26.66,-12.08,-12.11,34.08,1818.5,0.0977,-272.746,2.95629,15,7,8,55
NaI168,168,8,12,26.34,-16.52,-4.39,34.53,1438.9,0.0977,-263.136,3.17698,15,8,8,56
NaI169,169,8,12,26.46,-16.63,4.36,34.53,1440.7,0.0977,-325.187,2.98209,15,9,8,57
NaI170,170,8,12,26.76,-12.22,12.14,34.15,1422.8,0.0977,-367.832,3.19415,15,10,8,58
NaI171,171,8,12,26.47,-4.42,16.67,34.63,1437.7,0.0977,-372.607,3.14644,15,11,8,59
NaI172,172,8,12,26.47,4.4,16.63,34.54,1436.8,0.0977,-368.636,3.29344,15,12,8,60
NaI173,173,8,12,26.78,12.17,12.14,34.06,1418.7,0.0977,-425.673,3.32128,15,13,8,61
NaI174,174,8,12,26.48,16.62,4.34,34.48,1439.8,0.0977,-338.635,3.19596,15,14,8,62
NaI175,175,8,12,26.52,16.6,-4.35,34.39,1440.8,0.0977,-362.463,3.02148,15,15,8,63
NaI176,176,8,12,26.85,12.22,-12.12,34,1417.1,0.0977,-450.148,3.31245,15,16,8,64
NaI177,177,8,12,26.41,4.45,-16.54,34.49,1434.8,0.0977,-354.72,3.22992,15,17,8,65
NaI178,178,8,12,18.81,-4.4,-11.19,35.31,1438.8,0.0977,-348.001,2.97843,15,18,8,66
NaI179,179,8,12,18.82,-11.23,-4.34,35.3,1439.5,0.0977,-442.313,3.08338,15,19,8,67
NaI180,180,8,12,19.04,-11.22,4.5,35.03,1437.2,0.0977,-350.827,3.11506,15,20,8,68
NaI181,181,8,12,18.84,-4.43,11.16,35.19,1441.1,0.0977,-354.212,3.0266,15,21,8,69
NaI182,182,8,12,18.84,4.45,11.15,35.19,1441.6,0.0977,-330.154,3.0848,15,22,8,70
NaI183,183,8,12,18.97,11.23,4.49,35.19,1436.7,0.0977,-404.518,3.13356,15,23,8,71
NaI184,184,8,12,18.86,11.19,-4.46,35.26,1437,0.0977,-428.393,3.22278,15,24,8,72
NaI185,185,8,12,18.96,4.45,-11.2,35.09,1438.5,0.0977,-326.968,3.12325,15,25,8,73
NaI186,186,8,13,18.46,-999,-999,-999,995.5,0.0977,-783.202,-10,15,30,6,127
NaI187,187,8,8,18.46,-999,-999,-999,995.5,0.0977,-783.202,-10,15,31,8,127
